"","tax_bin","sample","taxonomy","mean","sd","tax_col","Season","x"
"44","Flavobacteriaceae - uncultured_bacterium - ASV54","Seawater
(Summer, N = 3)","Bacteroidota;ASV54",0.00443002111986813,0.00767302165821478,"Bacteroidota","Summer","Flavobacteriaceae - uncultured_bacterium"
"45","uncultured - uncultured_Alphaproteobacteria - ASV58","G. elegans
(Summer, N = 10)","Proteobacteria;ASV58",0.0225939431678138,0.0384118884654171,"Proteobacteria","Summer","uncultured - uncultured_Alphaproteobacteria"
"46","uncultured - uncultured_Alphaproteobacteria - ASV58","WMS
(Summer, N = 9)","Proteobacteria;ASV58",0.00302490845671776,0.00907472537015327,"Proteobacteria","Summer","uncultured - uncultured_Alphaproteobacteria"
"47","uncultured - uncultured_Alphaproteobacteria - ASV58","Sediment
(Summer, N = 4)","Proteobacteria;ASV58",0.0133259911894273,0.0266519823788546,"Proteobacteria","Summer","uncultured - uncultured_Alphaproteobacteria"
"48","uncultured - uncultured_bacterium - ASV6","VH coral
(Summer, N = 8)","unassigned Bacteria;ASV6",0.0926203547516875,0.0439146525048192,"unassigned Bacteria","Summer","uncultured - uncultured_bacterium"
"49","uncultured - uncultured_bacterium - ASV6","WMS
(Summer, N = 9)","unassigned Bacteria;ASV6",0.00802198494038676,0.0104770179559142,"unassigned Bacteria","Summer","uncultured - uncultured_bacterium"
"50","uncultured - uncultured_bacterium - ASV6","G. elegans
(Summer, N = 10)","unassigned Bacteria;ASV6",0.00138099606984194,0.0029210701428898,"unassigned Bacteria","Summer","uncultured - uncultured_bacterium"
"51","uncultured - uncultured_bacterium - ASV6","Sediment
(Summer, N = 4)","unassigned Bacteria;ASV6",0.00387596899224805,0.0077519379844961,"unassigned Bacteria","Summer","uncultured - uncultured_bacterium"
"52","Marinilabiliaceae - uncultured_bacterium - ASV7","G. elegans
(Summer, N = 10)","Bacteroidota;ASV7",0.00087152516904583,0.0027560045723481,"Bacteroidota","Summer","Marinilabiliaceae - uncultured_bacterium"
"53","Marinilabiliaceae - uncultured_bacterium - ASV7","WMS
(Summer, N = 9)","Bacteroidota;ASV7",0.0284450975197152,0.030288877915016,"Bacteroidota","Summer","Marinilabiliaceae - uncultured_bacterium"
"54","Flavobacteriaceae - uncultured_bacterium - ASV73","VH coral
(Summer, N = 8)","Bacteroidota;ASV73",0.00652763575452608,0.0122715148025807,"Bacteroidota","Summer","Flavobacteriaceae - uncultured_bacterium"
"55","Flavobacteriaceae - uncultured_bacterium - ASV73","Sediment
(Summer, N = 4)","Bacteroidota;ASV73",0.0426351866931333,0.0420871080337418,"Bacteroidota","Summer","Flavobacteriaceae - uncultured_bacterium"
"56","Flavobacteriaceae - uncultured_bacterium - ASV73","G. elegans
(Summer, N = 10)","Bacteroidota;ASV73",0.0021700143472023,0.0068621878924027,"Bacteroidota","Summer","Flavobacteriaceae - uncultured_bacterium"
"57","Flavobacteriaceae - uncultured_bacterium - ASV73","WMS
(Summer, N = 9)","Bacteroidota;ASV73",0.0166159980442996,0.0116476540935245,"Bacteroidota","Summer","Flavobacteriaceae - uncultured_bacterium"
"58","Woeseiaceae - uncultured_bacterium - ASV8","VH coral
(Summer, N = 8)","Proteobacteria;ASV8",0.0191802024608658,0.0272088694319039,"Proteobacteria","Summer","Woeseiaceae - uncultured_bacterium"
"59","Woeseiaceae - uncultured_bacterium - ASV8","Sediment
(Summer, N = 4)","Proteobacteria;ASV8",0.0590308370044052,0.11806167400881,"Proteobacteria","Summer","Woeseiaceae - uncultured_bacterium"
"60","uncultured - uncultured_bacterium - ASV86","G. elegans
(Summer, N = 10)","Bacteroidota;ASV86",0.00115702479338843,0.00365883365639317,"Bacteroidota","Summer","uncultured - uncultured_bacterium"
"61","uncultured - uncultured_bacterium - ASV86","WMS
(Summer, N = 9)","Bacteroidota;ASV86",0.0270171613971358,0.0210535082491354,"Bacteroidota","Summer","uncultured - uncultured_bacterium"
"62","uncultured - uncultured_bacterium - ASV86","Seawater
(Summer, N = 3)","Bacteroidota;ASV86",0.00226723095525998,0.0039269592070032,"Bacteroidota","Summer","uncultured - uncultured_bacterium"
"63","Flavobacteriaceae - uncultured_bacterium - ASV89","WMS
(Summer, N = 9)","Bacteroidota;ASV89",0.013822594187958,0.0179815516333602,"Bacteroidota","Summer","Flavobacteriaceae - uncultured_bacterium"
"64","Flavobacteriaceae - uncultured_bacterium - ASV89","VH coral
(Summer, N = 8)","Bacteroidota;ASV89",0.0189526262842592,0.0311670157519592,"Bacteroidota","Summer","Flavobacteriaceae - uncultured_bacterium"
"65","Flavobacteriaceae - uncultured_bacterium - ASV89","G. elegans
(Summer, N = 10)","Bacteroidota;ASV89",0.0116704592072446,0.0168778150572889,"Bacteroidota","Summer","Flavobacteriaceae - uncultured_bacterium"
