ASV.ID,kingdom,phylum,class,order,family,genus,species
ASV22,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,uncultured,uncultured,uncultured_bacterium
ASV23,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Thioflexothrix,Beggiatoa_sp.
ASV24,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2,uncultured_bacterium
ASV25,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Thiovulum,Thiovulum_sp.
ASV26,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade,uncultured_Haliea
ASV27,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured_bacterium
ASV28,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,uncultured_bacterium
ASV29,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,marine_metagenome
ASV30,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Trichodesmium_IMS101,Blennothrix_glutinosa
ASV31,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,uncultured_bacterium
ASV32,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,uncultured_bacterium
ASV33,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured_bacterium
ASV34,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,uncultured_bacterium
ASV35,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Neptuniibacter,Neptuniibacter_caesariensis
ASV37,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricola,uncultured_bacterium
ASV38,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,uncultured,uncultured_bacterium
ASV39,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade,uncultured_bacterium
ASV40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Algitalea,uncultured_bacterium
ASV41,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,uncultured_bacterium
ASV42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,uncultured_bacterium
ASV43,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,uncultured_bacterium
ASV44,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,uncultured_bacterium
ASV45,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta,uncultured_Alphaproteobacteria
ASV46,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,uncultured_bacterium
ASV47,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,uncultured_bacterium
ASV48,Bacteria,Verrucomicrobiota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,R76-B128,uncultured_bacterium
ASV49,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Amphritea,uncultured_gamma
ASV50,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,Simkania,Simkania_negevensis
ASV51,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae_UCG-011,microbial_mat
ASV52,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfolunaceae,Desulfofaba,uncultured_bacterium
ASV53,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Kistimonas,uncultured_marine
ASV54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,uncultured_bacterium
ASV55,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Marinobacterium,Neptuniibacter_sp.
ASV56,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,uncultured_bacterium
ASV58,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,uncultured,uncultured_Alphaproteobacteria
ASV59,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,uncultured_bacterium
ASV60,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,uncultured_bacterium
ASV61,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Algibacter,Algibacter_aquimarinus
ASV62,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,uncultured_bacterium
ASV63,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_salexigens
ASV64,Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,uncultured_bacterium
ASV65,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Spongiivirga,uncultured_Flavobacteriaceae
ASV66,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,uncultured_bacterium
ASV67,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,uncultured_Flavobacterium
ASV68,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,Thalassotalea_sp.
ASV69,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,uncultured_bacterium
ASV70,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,uncultured_organism
ASV71,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,uncultured_Cytophagales
ASV72,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Moorea,Moorea_producens
ASV73,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,uncultured_bacterium
ASV74,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007,uncultured_bacterium
ASV75,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,uncultured,uncultured_bacterium
ASV76,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,uncultured_prokaryote
ASV77,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix,uncultured_bacterium
ASV78,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Amphritea,uncultured_bacterium
ASV79,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,uncultured_bacterium
ASV80,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,uncultured_bacterium
ASV81,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,uncultured_bacterium
ASV82,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade,SAR86_clade,uncultured_bacterium
ASV83,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Sulfurospirillum_arcachonense
ASV84,Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,uncultured_organism
ASV85,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,uncultured_deep-sea
ASV86,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,uncultured,uncultured,uncultured_bacterium
ASV88,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,uncultured,uncultured_marine
ASV89,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,uncultured_bacterium
ASV90,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Algibacter,Cytophaga_sp.
ASV91,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Sunxiuqinia,uncultured_bacterium
ASV92,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,uncultured_bacterium
ASV93,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium,uncultured_bacterium
ASV94,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus,uncultured_bacterium
ASV96,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,uncultured_Desulfovibrionales
ASV97,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,uncultured_bacterium
ASV98,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Pleurocapsa_PCC-7319,Stanieria_sp.
ASV99,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Actibacter,uncultured_Bacteroidetes
ASV100,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,uncultured_Flavobacteriaceae
ASV101,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,uncultured_bacterium
ASV102,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Spongiibacterium,uncultured_bacterium
ASV103,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,metagenome
ASV104,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia-Loktanella,uncultured_bacterium
ASV105,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HIMB11,uncultured_bacterium
ASV106,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured_Flexibacteraceae
ASV107,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,marine_bacterium
ASV108,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,uncultured_bacterium
ASV109,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,uncultured_bacterium
ASV110,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Croceitalea,Croceitalea_marina
ASV111,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Perspicuibacter,uncultured_bacterium
ASV112,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,uncultured_bacterium
ASV113,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,marine_metagenome
ASV115,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Natranaerovirga,uncultured_bacterium
ASV116,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Pelagicoccus,uncultured_bacterium
ASV117,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,uncultured,uncultured_bacterium
ASV118,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,Arenicella_chitinivorans
ASV119,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured,bacterium_enrichment
ASV120,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,uncultured_gamma
ASV121,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,epsilon_proteobacterium
ASV122,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Pleurocapsa_PCC-7319,uncultured_bacterium
ASV123,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,uncultured,uncultured_bacterium
ASV125,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured_deep-sea
ASV126,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Synechococcales_Incertae_Sedis,Schizothrix_LEGE_07164,uncultured_bacterium
ASV127,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Thioflexothrix,uncultured_bacterium
ASV128,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,bacterium_WH4-9
ASV129,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,uncultured_bacterium
ASV130,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Shimia,Rhodobacteraceae_bacterium
ASV132,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Eudoraea,Eudoraea_chungangensis
ASV134,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Hormoscilla_SI04-45,uncultured_Hormoscilla
ASV135,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Pleurocapsa_PCC-7319,Pleurocapsa_minor
ASV136,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,planctomycete_DDSe3004
ASV137,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,uncultured_bacterium
ASV138,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,uncultured_Desulfobacter
ASV139,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured_bacterium
ASV140,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,uncultured,uncultured_bacterium
ASV141,Bacteria,Firmicutes,Bacilli,Izemoplasmatales,Izemoplasmataceae,Izemoplasmataceae,bacterium_enrichment
ASV142,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,uncultured_organism
ASV143,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae,uncultured_bacterium
ASV145,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Phormidesmis_ANT.LACV5.1,Schizotrichaceae_cyanobacterium
ASV146,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,uncultured_bacterium
ASV147,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,uncultured_bacterium
ASV148,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,uncultured_bacterium
ASV149,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Thalassolituus,uncultured_bacterium
ASV150,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,uncultured,uncultured,uncultured_bacterium
ASV151,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,uncultured_bacterium
ASV152,Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,marine_metagenome
ASV153,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade,SAR86_clade,bacterium_WHC4-9
ASV154,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Marixanthomonas,uncultured_bacterium
ASV155,Bacteria,Myxococcota,Polyangia,Blfdi19,Blfdi19,Blfdi19,uncultured_bacterium
ASV157,Bacteria,Cyanobacteria,Vampirivibrionia,Caenarcaniphilales,Caenarcaniphilales,Caenarcaniphilales,uncultured_bacterium
ASV158,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella_flava
ASV159,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,uncultured,uncultured_organism
ASV160,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,uncultured_bacterium
ASV161,Bacteria,Patescibacteria,Kazania,Kazania,Kazania,Kazania,uncultured_bacterium
ASV162,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta,uncultured_bacterium
ASV163,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,uncultured_bacterium
ASV164,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,uncultured_Verrucomicrobium
ASV165,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Neiella,Neiella_marina
ASV166,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,uncultured,uncultured_bacterium
ASV167,Bacteria,Verrucomicrobiota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,R76-B128,uncultured_bacterium
ASV168,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,uncultured_bacterium
ASV169,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,uncultured_bacterium
ASV170,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,MSBL8,MSBL8,uncultured_bacterium
ASV171,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter,uncultured_bacterium
ASV172,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,uncultured_bacterium
ASV173,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,uncultured,uncultured_bacterium
ASV174,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,bacterium_M15(2011)
ASV175,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Persicirhabdus,uncultured_bacterium
ASV176,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,uncultured,uncultured_bacterium
ASV177,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroserpens,uncultured_bacterium
ASV178,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,uncultured_Owenweeksia
ASV179,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,uncultured,uncultured,uncultured_bacterium
ASV180,Bacteria,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,uncultured_gamma
ASV181,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Paramoritella,uncultured_bacterium
ASV182,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,GWE2-31-10,uncultured_bacterium
ASV183,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,uncultured,uncultured_bacterium
ASV184,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium,uncultured_delta
ASV185,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,uncultured_Gram-positive
ASV186,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulforhopalus,uncultured_bacterium
ASV187,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina_algiphila
ASV188,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hellea,uncultured_bacterium
ASV189,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,LK-44f,LK-44f,uncultured_bacterium
ASV190,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,Clostridia_vadinBB60_group,Clostridia_vadinBB60_group,uncultured_bacterium
ASV191,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Oscillatoriaceae,uncultured,uncultured_cyanobacterium
ASV192,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilaceae,uncultured_bacterium
ASV193,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade,SAR86_clade,uncultured_bacterium_marine
ASV194,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus,uncultured_Prolixibacter
ASV195,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfotalea,Desulfotalea_sp.
ASV196,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Lutimaribacter,uncultured_bacterium
ASV197,Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,uncultured_Compostimonas
ASV198,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,uncultured_bacterium
ASV199,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,uncultured_bacterium
ASV200,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7_marine_group,NS7_marine_group,uncultured_bacterium
ASV201,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured_bacterium
ASV202,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrionaceae,uncultured_bacterium
ASV203,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,uncultured_bacterium
ASV204,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A_clade,KI89A_clade,KI89A_clade,uncultured_gamma
ASV205,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,uncultured_bacterium
ASV206,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Puniceicoccus,uncultured_Verrucomicrobia
ASV207,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,uncultured_bacterium
ASV208,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,uncultured_bacterium
ASV209,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadia,Geopsychrobacteraceae,uncultured,uncultured_bacterium
ASV210,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,uncultured,uncultured_bacterium
ASV211,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,uncultured,uncultured,uncultured_bacterium
ASV212,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,uncultured_bacterium
ASV213,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,uncultured_Flammeovirgaceae
ASV214,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,uncultured_bacterium
ASV215,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fabibacter,uncultured_bacterium
ASV216,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Flavobacteriaceae_bacterium
ASV217,Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,uncultured_Acaryochloris
ASV218,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,uncultured_bacterium
ASV219,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,Marinifilum_sp.
ASV220,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula,uncultured_bacterium
ASV221,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,uncultured_bacterium
ASV222,Bacteria,Proteobacteria,Gammaproteobacteria,pItb-vmat-80,pItb-vmat-80,pItb-vmat-80,uncultured_bacterium
ASV223,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,uncultured_Bacteroidetes
ASV224,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,uncultured,uncultured,uncultured_bacterium
ASV225,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),uncultured_bacterium
ASV226,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,uncultured_planctomycete
