"","kingdom","phylum","class","order","family","genus","species"
"ASV844","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured","uncultured_planctomycete"
"ASV995","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","uncultured_organism"
"ASV524","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Kordia","uncultured_bacterium"
"ASV677","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","marine_metagenome"
"ASV601","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfolunaceae","Desulfoluna","uncultured_bacterium"
"ASV186","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulforhopalus","uncultured_bacterium"
"ASV1027","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","marine_metagenome"
"ASV846","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisella","uncultured_bacterium"
"ASV746","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Owenweeksia","uncultured_marine"
"ASV655","Bacteria","Proteobacteria","Gammaproteobacteria","MBAE14","MBAE14","MBAE14","uncultured_bacterium"
"ASV724","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group","alpha_proteobacterium"
"ASV456","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","uncultured_bacterium"
"ASV258","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","uncultured_Verrucomicrobiae"
"ASV1031","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","uncultured_Roseibacillus"
"ASV1100","Bacteria","Myxococcota","bacteriap25","bacteriap25","bacteriap25","bacteriap25","uncultured_organism"
"ASV577","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","uncultured","uncultured_gamma"
"ASV599","Bacteria","Proteobacteria","Gammaproteobacteria","pItb-vmat-80","pItb-vmat-80","pItb-vmat-80","uncultured_bacterium"
"ASV791","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","uncultured","uncultured_bacterium"
"ASV295","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","UBA10353_marine_group","UBA10353_marine_group","uncultured_deep-sea"
"ASV428","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Wenyingzhuangia","uncultured_bacterium"
"ASV188","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hellea","uncultured_bacterium"
"ASV496","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409","UBA12409","uncultured_bacterium"
"ASV91","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Sunxiuqinia","uncultured_bacterium"
"ASV1013","Bacteria","Acidobacteriota","Acidobacteriae","PAUC26f","PAUC26f","PAUC26f","uncultured_bacterium"
"ASV938","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Cerasicoccus","uncultured_deep-sea"
"ASV393","Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae","Silvanigrella","uncultured_bacterium"
"ASV232","Bacteria","Planctomycetota","vadinHA49","vadinHA49","vadinHA49","vadinHA49","uncultured_bacterium"
"ASV272","Bacteria","Firmicutes","Bacilli","Izemoplasmatales","Izemoplasmataceae","Izimaplasma","uncultured_bacterium"
"ASV137","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","uncultured_bacterium"
"ASV927","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured","uncultured_Chlamydia"
"ASV207","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured_bacterium"
"ASV250","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae","Fusibacter","uncultured_bacterium"
"ASV604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured_bacterium"
"ASV92","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured_bacterium"
"ASV55","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Marinobacterium","Neptuniibacter_sp."
"ASV925","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36","uncultured_bacterium"
"ASV731","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus","uncultured_bacterium"
"ASV767","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","uncultured","uncultured_Planctomycetaceae"
"ASV594","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Flavobacterium"
"ASV890","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","uncultured","Arcobacter_sp."
"ASV89","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","uncultured_bacterium"
"ASV126","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis","Schizothrix_LEGE_07164","uncultured_bacterium"
"ASV839","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","marine_metagenome"
"ASV54","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_bacterium"
"ASV1067","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Psychrobium","uncultured_Sulfitobacter"
"ASV37","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","uncultured_bacterium"
"ASV242","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda","Bacteroidetes_bacterium"
"ASV725","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","uncultured_organism"
"ASV269","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Microscilla","uncultured_Microscilla"
"ASV59","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","uncultured_bacterium"
"ASV308","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","uncultured","uncultured_bacterium"
"ASV431","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","Roseibacillus_ponti"
"ASV46","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutimonas","uncultured_bacterium"
"ASV796","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","uncultured","uncultured_Chromatiales"
"ASV827","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured","metagenome"
"ASV109","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus_MIT9313","uncultured_bacterium"
"ASV331","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina","uncultured_bacterium"
"ASV913","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Verruc-01","uncultured_bacterium"
"ASV22","Bacteria","Proteobacteria","Gammaproteobacteria","uncultured","uncultured","uncultured","uncultured_bacterium"
"ASV772","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","uncultured_bacterium"
"ASV179","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","uncultured","uncultured_bacterium"
"ASV631","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera","bacterium_SH5-9"
"ASV370","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Agaribacterium","uncultured_bacterium"
"ASV217","Bacteria","Cyanobacteria","Cyanobacteriia","Thermosynechococcales","Acaryochloridaceae","Acaryochloris_MBIC11017","uncultured_Acaryochloris"
"ASV723","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea","uncultured_organism"
"ASV769","Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Deferribacteraceae","Geovibrio","bacterium_L21-Ace-BES"
"ASV956","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Stappiaceae","uncultured_bacterium"
"ASV718","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella","uncultured_bacterium"
"ASV862","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Zhongshania","uncultured_bacterium"
"ASV371","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","uncultured_bacterium"
"ASV877","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Prolixibacter","uncultured_Bacteroidales"
"ASV620","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Oceanispirochaeta_litoralis"
"ASV153","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade","bacterium_WHC4-9"
"ASV960","Bacteria","Acidobacteriota","Subgroup_26","Subgroup_26","Subgroup_26","Subgroup_26","uncultured_bacterium"
"ASV429","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36","uncultured_sediment"
"ASV668","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Thiovulum","uncultured_Epsilonproteobacteria"
"ASV937","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Thiovulum","uncultured_bacterium"
"ASV478","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Schleiferiaceae","Schleiferia","uncultured_Bacteroidetes"
"ASV1012","Bacteria","Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11","uncultured_bacterium"
"ASV273","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacter","delta_proteobacterium"
"ASV33","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured_bacterium"
"ASV305","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured_Bacteroidetes"
"ASV184","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacterium","uncultured_delta"
"ASV1028","Bacteria","Proteobacteria","Gammaproteobacteria","NKB5","NKB5","NKB5","uncultured_gamma"
"ASV546","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","OM43_clade","Methylophilales_bacterium"
"ASV244","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter","uncultured_Bacteroidetes"
"ASV676","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","uncultured","uncultured_bacterium"
"ASV537","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella","Uncultured_Pseudospirillum"
"ASV8","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","uncultured_bacterium"
"ASV231","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix","uncultured_bacterium"
"ASV190","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","uncultured_bacterium"
"ASV657","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured","uncultured","uncultured_bacterium"
"ASV569","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","uncultured_Bacteroidetes"
"ASV253","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured","uncultured_bacterium"
"ASV1065","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","uncultured","uncultured_Fibrobacteres"
"ASV895","Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","marine_metagenome"
"ASV31","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium","uncultured_bacterium"
"ASV420","Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Deferribacteraceae","Denitrovibrio","bioreactor_metagenome"
"ASV1059","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","uncultured_Bacteroidetes"
"ASV9","Bacteria","Verrucomicrobiota","Lentisphaeria","P.palmC41","P.palmC41","P.palmC41","uncultured_bacterium"
"ASV744","Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","UCG-012","uncultured_bacterium"
"ASV686","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter","uncultured_bacterium"
"ASV311","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","uncultured_bacterium"
"ASV66","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","uncultured_bacterium"
"ASV1006","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea","uncultured_bacterium"
"ASV241","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured","uncultured_marine"
"ASV1058","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","uncultured","uncultured_Bacteroidetes"
"ASV684","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22","JGI_0000069-P22","bioreactor_metagenome"
"ASV82","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade","uncultured_bacterium"
"ASV544","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Unknown_Family","uncultured_bacterium"
"ASV350","Bacteria","Proteobacteria","Magnetococcia","Magnetococcales","Magnetococcaceae","Magnetococcus","uncultured_bacterium"
"ASV149","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Thalassolituus","uncultured_bacterium"
"ASV606","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina","Aquimarina_spongiae"
"ASV264","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","uncultured","uncultured_bacterium"
"ASV378","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","uncultured_bacterium"
"ASV335","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Acrophormium_PCC-7375","Leptolyngbya_sp."
"ASV458","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7_clade","uncultured_bacterium"
"ASV635","Bacteria","Verrucomicrobiota","Lentisphaeria","SS1-B-02-17","SS1-B-02-17","SS1-B-02-17","uncultured_Lentisphaerae"
"ASV1103","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","01D2Z36","01D2Z36","uncultured_bacterium"
"ASV1026","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Rivularia_PCC-7116","uncultured_bacterium"
"ASV129","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured_bacterium"
"ASV919","Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella","uncultured_bacterium"
"ASV934","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","uncultured","uncultured","uncultured_bacterium"
"ASV122","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Pleurocapsa_PCC-7319","uncultured_bacterium"
"ASV471","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus_Thiobios","uncultured_bacterium"
"ASV7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Carboxylicivirga","uncultured_bacterium"
"ASV1042","Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","uncultured_Flavobacterium"
"ASV808","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","uncultured","uncultured_bacterium"
